t,x,y,w,h,class_id,class_confidence,track_id
13599999,98,77,34,21,0,0.0,0
16099999,169,76,25,61,1,0.0,0
16599999,16,76,104,68,0,0.0,0
17350000,1,79,108,71,0,0.0,0
17600000,105,99,43,34,0,0.0,0
17600000,3,85,111,60,0,0.0,0
18100000,117,101,51,32,0,0.0,0
19600000,190,83,23,59,1,0.0,0
19600000,214,79,21,66,1,0.0,0
20350000,105,96,43,33,0,0.0,0
21350000,0,91,93,62,0,0.0,0
22350000,58,103,56,35,0,0.0,0
22600000,211,72,27,87,1,0.0,0
22600000,176,61,35,100,1,0.0,0
22850000,157,79,23,53,1,0.0,0
22850000,188,65,26,77,1,0.0,0
23100000,0,86,66,90,0,0.0,0
23600000,190,65,27,79,1,0.0,0
23600000,0,93,81,56,0,0.0,0
23850000,166,79,26,62,1,0.0,0
23850000,194,67,32,84,1,0.0,0
24100000,156,78,20,56,1,0.0,0
24350000,109,97,37,31,0,0.0,0
24850000,197,61,33,93,1,0.0,0
24850000,167,76,24,61,1,0.0,0
25100000,0,78,88,64,0,0.0,0
25600000,74,103,44,29,0,0.0,0
26850000,0,76,89,59,0,0.0,0
26850000,201,43,36,124,1,0.0,0
27350000,175,73,22,62,1,0.0,0
28100000,110,99,38,29,0,0.0,0
28850000,0,71,69,72,0,0.0,0
29350000,0,68,75,73,0,0.0,0
31350000,0,77,48,64,0,0.0,0
32350000,0,67,38,54,0,0.0,0
32350000,77,78,29,20,0,0.0,0
32600000,24,73,40,31,0,0.0,0
32850000,144,64,19,61,1,0.0,0
33850000,153,69,24,70,1,0.0,0
36100000,169,59,27,79,1,0.0,0
36600000,183,62,26,77,1,0.0,0
36600000,193,65,25,72,1,0.0,0
36850000,151,86,38,32,0,0.0,0
37100000,174,65,23,72,1,0.0,0
37100000,191,67,22,76,1,0.0,0
37100000,209,72,26,62,1,0.0,0
37350000,0,71,43,30,0,0.0,0
37350000,140,87,43,36,0,0.0,0
37350000,97,86,43,36,0,0.0,0
38100000,186,55,26,76,1,0.0,0
38100000,211,58,20,72,1,0.0,0
40350000,150,50,26,75,1,0.0,0
40350000,173,55,22,71,1,0.0,0
40600000,150,41,27,82,1,0.0,0
41100000,5,78,98,61,0,0.0,0
42100000,95,78,51,36,0,0.0,0
43100000,52,66,107,52,0,0.0,0
43350000,8,55,163,91,0,0.0,0
45350000,80,52,41,30,0,0.0,0
48600000,29,49,145,91,0,0.0,0
48850000,25,41,151,96,0,0.0,0
49100000,12,44,167,93,0,0.0,0
50100000,21,49,154,81,0,0.0,0
51350000,139,77,16,41,1,0.0,0
51600000,145,79,21,49,1,0.0,0
52100000,155,70,27,62,1,0.0,0
52350000,158,68,25,61,1,0.0,0
52600000,10,35,183,126,0,0.0,0
53100000,199,61,26,67,1,0.0,0
53350000,4,67,16,39,1,0.0,0
54850000,222,68,15,55,1,0.0,0
55100000,181,91,43,23,0,0.0,0
55350000,226,58,12,68,1,0.0,0
56100000,139,113,49,22,0,0.0,0
56600000,93,113,51,24,0,0.0,0
57600000,134,95,21,59,1,0.0,0
58850000,2,107,104,64,0,0.0,0
60600000,215,82,18,51,1,0.0,0
61600000,83,83,17,47,1,0.0,0
61850000,56,80,23,63,1,0.0,0
61850000,181,91,21,51,1,0.0,0
62100000,25,69,33,90,1,0.0,0
62600000,0,74,39,49,0,0.0,0
63850000,175,93,20,55,1,0.0,0
64350000,169,93,19,57,1,0.0,0
64850000,186,95,19,55,1,0.0,0
65100000,191,100,18,53,1,0.0,0
65350000,193,96,18,54,1,0.0,0
66100000,186,100,19,54,1,0.0,0
66350000,179,79,20,57,1,0.0,0
66850000,187,91,20,63,1,0.0,0
67350000,179,80,21,58,1,0.0,0
67600000,176,87,19,58,1,0.0,0
68100000,177,87,19,60,1,0.0,0
68350000,127,7,112,143,0,0.0,0
68600000,177,78,23,65,1,0.0,0
69100000,193,86,20,62,1,0.0,0
69350000,191,87,21,62,1,0.0,0
69600000,47,78,17,48,1,0.0,0
69600000,190,76,22,68,1,0.0,0
69850000,196,90,20,62,1,0.0,0
70100000,30,84,22,57,1,0.0,0
70350000,17,83,27,73,1,0.0,0
70850000,0,83,11,83,1,0.0,0
71100000,204,93,19,64,1,0.0,0
71350000,202,89,22,67,1,0.0,0
72600000,197,92,25,63,1,0.0,0
73100000,215,94,23,75,1,0.0,0
73350000,224,89,14,75,1,0.0,0
73600000,223,99,15,69,1,0.0,0
74100000,218,88,19,73,1,0.0,0
74350000,217,90,22,77,1,0.0,0
75350000,201,103,24,73,1,0.0,0
75600000,201,88,22,87,1,0.0,0
75850000,199,100,26,77,1,0.0,0
76100000,211,84,25,83,1,0.0,0
77600000,219,89,18,81,1,0.0,0
77850000,204,96,29,82,1,0.0,0
78100000,182,100,29,79,1,0.0,0
78100000,79,90,15,46,1,0.0,0
78100000,55,86,19,55,1,0.0,0
78350000,166,97,32,82,1,0.0,0
78600000,143,98,26,79,1,0.0,0
78600000,154,100,22,78,1,0.0,0
78850000,114,94,34,82,1,0.0,0
78850000,0,58,20,82,1,0.0,0
79100000,82,96,34,83,1,0.0,0
79350000,65,91,33,88,1,0.0,0
79850000,21,89,33,90,1,0.0,0
79850000,144,81,52,24,0,0.0,0
80600000,198,72,40,35,0,0.0,0
81350000,155,77,82,37,0,0.0,0
82350000,110,81,74,40,0,0.0,0
83100000,134,83,103,56,0,0.0,0
83350000,126,74,113,88,0,0.0,0
83350000,158,78,45,21,0,0.0,0
83850000,179,90,58,38,0,0.0,0
83850000,119,87,72,39,0,0.0,0
84100000,118,74,116,47,0,0.0,0
84850000,119,69,119,66,0,0.0,0
84850000,195,71,43,41,0,0.0,0
85600000,93,74,69,30,0,0.0,0
85850000,168,66,69,38,0,0.0,0
85850000,93,65,81,38,0,0.0,0
86350000,104,67,63,32,0,0.0,0
87350000,94,78,79,43,0,0.0,0
88600000,97,82,65,42,0,0.0,0
89350000,98,77,78,38,0,0.0,0
89350000,98,77,42,28,0,0.0,0
89850000,116,93,41,35,0,0.0,0
91100000,116,78,67,44,0,0.0,0
91100000,101,80,41,34,0,0.0,0
92100000,77,76,57,40,0,0.0,0
93350000,83,74,56,44,0,0.0,0
93600000,99,72,74,51,0,0.0,0
94850000,100,78,43,34,0,0.0,0
95350000,132,72,94,65,0,0.0,0
95350000,100,71,52,44,0,0.0,0
95600000,99,75,61,39,0,0.0,0
97600000,91,74,46,31,0,0.0,0
98100000,95,77,57,63,0,0.0,0
98100000,98,77,47,28,0,0.0,0
98350000,138,64,84,52,0,0.0,0
100850000,150,83,30,28,0,0.0,0
100850000,81,91,43,40,0,0.0,0
101600000,120,92,57,27,0,0.0,0
101600000,147,94,34,24,0,0.0,0
101850000,75,82,54,48,0,0.0,0
102600000,162,83,38,28,0,0.0,0
103350000,146,63,91,88,0,0.0,0
104350000,124,44,113,103,0,0.0,0
105100000,0,33,73,100,0,0.0,0
105600000,0,26,85,97,0,0.0,0
107850000,58,15,135,129,0,0.0,0
109600000,68,14,143,141,0,0.0,0
109850000,73,10,143,140,0,0.0,0
110350000,46,7,178,170,0,0.0,0
110600000,174,80,63,87,0,0.0,0
111100000,0,67,26,77,1,0.0,0
111600000,6,22,152,148,0,0.0,0
114100000,134,59,77,73,0,0.0,0
114100000,82,82,44,40,0,0.0,0
114600000,120,84,18,52,1,0.0,0
114850000,119,82,19,56,1,0.0,0
115600000,95,81,38,35,0,0.0,0
116100000,119,70,97,84,0,0.0,0
116600000,138,93,18,51,1,0.0,0
116600000,125,98,13,41,1,0.0,0
117350000,98,84,45,38,0,0.0,0
119600000,167,38,70,103,0,0.0,0
119850000,169,47,69,100,0,0.0,0
120100000,159,44,79,108,0,0.0,0
120100000,127,78,52,36,0,0.0,0
120350000,158,48,80,101,0,0.0,0
122100000,90,91,52,39,0,0.0,0
123100000,151,68,28,81,1,0.0,0
123100000,122,29,117,121,0,0.0,0
123350000,101,70,16,46,1,0.0,0
125100000,103,27,136,131,0,0.0,0
125350000,90,40,149,119,0,0.0,0
125600000,158,99,80,73,0,0.0,0
125600000,78,81,19,61,1,0.0,0
126850000,39,78,23,62,1,0.0,0
128350000,0,90,50,55,0,0.0,0
130600000,0,79,38,53,0,0.0,0
130600000,19,29,137,142,0,0.0,0
131350000,131,82,107,82,0,0.0,0
131600000,125,66,113,109,0,0.0,0
132100000,138,64,21,60,1,0.0,0
132600000,137,68,21,57,1,0.0,0
133100000,137,70,21,56,1,0.0,0
133350000,138,74,19,55,1,0.0,0
